Areaname,STCOU,PST035195D,IPE120205D,CRM160205D
"Lawrence, IL",17101,16178,14.9,0
"Lee, IL",17103,36040,9.2,0
"Livingston, IL",17105,40330,9.7,0
"Logan, IL",17107,31148,11.3,0
"McDonough, IL",17109,33563,20.9,0
"McHenry, IL",17111,228762,4.6,0
"McLean, IL",17113,140945,11.4,0
"Macon, IL",17115,117289,15.2,0
"Macoupin, IL",17117,48677,10.4,0
"Madison, IL",17119,256665,11,0
"Marion, IL",17121,41972,16.1,0
"Marshall, IL",17123,12928,8,0
"Mason, IL",17125,16344,14.2,0
"Massac, IL",17127,15152,16.4,0
"Menard, IL",17129,12006,9.3,0
"Mercer, IL",17131,17083,8.1,0
"Monroe, IL",17133,24790,3.8,0
"Montgomery, IL",17135,30702,15.4,0
"Morgan, IL",17137,37079,13.6,0
"Moultrie, IL",17139,14051,9.5,0
"Ogle, IL",17141,49166,8.4,0
"Peoria, IL",17143,184816,12.8,380
"Perry, IL",17145,21322,16.2,0
"Piatt, IL",17147,16037,6.2,0
"Pike, IL",17149,17209,14.3,0
"Pope, IL",17151,4421,17.9,0
"Pulaski, IL",17153,7482,28.7,0
"Putnam, IL",17155,5847,6.6,0
"Randolph, IL",17157,34254,12.8,0
"Richland, IL",17159,16491,15.2,0
"Rock Island, IL",17161,150475,13.4,0
"St. Clair, IL",17163,262499,13,0
"Saline, IL",17165,26880,20.6,0
"Sangamon, IL",17167,189592,11.2,258
"Schuyler, IL",17169,7593,11.2,0
"Scott, IL",17171,5584,10.6,0
"Shelby, IL",17173,22747,10.5,0
"Stark, IL",17175,6440,10.4,0
"Stephenson, IL",17177,49031,10.7,0
"Tazewell, IL",17179,127764,8.7,0
"Union, IL",17181,18151,16.7,0
"Vermilion, IL",17183,86570,18.3,0
"Wabash, IL",17185,13139,14.8,0
"Warren, IL",17187,19097,13.3,0
"Washington, IL",17189,15104,7.8,0
"Wayne, IL",17191,17157,14.9,0
"White, IL",17193,15822,14.1,0
"Whiteside, IL",17195,60828,10.9,0
"Will, IL",17197,418351,5.4,155
"Williamson, IL",17199,60430,13,0
"Winnebago, IL",17201,269020,11.9,537
"Woodford, IL",17203,34437,5.5,0
INDIANA,18000,5851459,12.2,6545
"Adams, IN",18001,32565,11.5,2
"Allen, IN",18003,314778,11.8,400
"Bartholomew, IN",18005,68410,10,19
"Benton, IN",18007,9594,9,0
"Blackford, IN",18009,14127,11.7,2
"Boone, IN",18011,41951,5.6,0
"Brown, IN",18013,14435,10.5,2
"Carroll, IN",18015,19573,8.6,0
"Cass, IN",18017,39440,10.7,6
"Clark, IN",18019,91802,10.7,78
"Clay, IN",18021,26051,12.6,2
"Clinton, IN",18023,32848,11.1,3
"Crawford, IN",18025,10274,17.5,0
"Daviess, IN",18027,28965,16.1,0
"Dearborn, IN",18029,43041,8.1,0
"Decatur, IN",18031,24288,11.2,4
"DeKalb, IN",18033,37996,8.2,9
"Delaware, IN",18035,120707,18.3,71
"Dubois, IN",18037,38493,6.5,0
"Elkhart, IN",18039,169869,10.9,174
"Fayette, IN",18041,26153,13.7,10
"Floyd, IN",18043,69074,10.5,62
"Fountain, IN",18045,17865,11,1
"Franklin, IN",18047,20854,8.9,0
"Fulton, IN",18049,19628,11.4,0
"Gibson, IN",18051,31975,9.2,3
"Grant, IN",18053,74483,17.9,53
"Greene, IN",18055,32567,15.1,1
"Hamilton, IN",18057,142413,3.9,27
"Hancock, IN",18059,50477,4.7,13
"Harrison, IN",18061,31778,9,4
"Hendricks, IN",18063,87494,4.7,16
"Henry, IN",18065,49172,10.4,6
"Howard, IN",18067,83905,12.8,77
"Huntington, IN",18069,37100,8.4,0
"Jackson, IN",18071,40184,11.1,11
"Jasper, IN",18073,27691,8.1,0
"Jay, IN",18075,21762,12.3,2
"Jefferson, IN",18077,30753,12.6,1
"Jennings, IN",18079,25574,10.8,2
"Johnson, IN",18081,101628,7.1,31
"Knox, IN",18083,40050,17.6,20
"Kosciusko, IN",18085,69961,8.6,14
"LaGrange, IN",18087,32314,8.5,2
"Lake, IN",18089,484553,16.7,841
"LaPorte, IN",18091,109571,11.9,83
"Lawrence, IN",18093,45045,13.2,1
"Madison, IN",18095,133759,11.9,76
"Marion, IN",18097,842076,15.2,3433
"Marshall, IN",18099,43992,8,7
"Martin, IN",18101,10490,12.2,2
"Miami, IN",18103,33401,12.2,2
"Monroe, IN",18105,116197,22.2,62
"Montgomery, IN",18107,36641,11.3,1
"Morgan, IN",18109,61489,7.8,9
"Newton, IN",18111,14268,8.7,0
"Noble, IN",18113,42081,8.9,0
"Ohio, IN",18115,5491,8.2,0
"Orange, IN",18117,18706,16.7,2
"Owen, IN",18119,20078,12.4,0
"Parke, IN",18121,16232,15.4,1
"Perry, IN",18123,19018,12.4,0
"Pike, IN",18125,12464,11.9,0
"Porter, IN",18127,139429,8.4,22
"Posey, IN",18129,26657,9.1,1
"Pulaski, IN",18131,13434,11.4,2
"Putnam, IN",18133,33294,11.1,2
"Randolph, IN",18135,27351,13.9,2
"Ripley, IN",18137,25934,9.6,5
"Rush, IN",18139,18436,9.2,4
"St. Joseph, IN",18141,260072,13.3,430
"Scott, IN",18143,22027,14.9,2
"Shelby, IN",18145,42488,10.1,0
"Spencer, IN",18147,19964,8.4,2
"Starke, IN",18149,22524,14.5,0
"Steuben, IN",18151,30696,10.2,1
"Sullivan, IN",18153,20574,14.3,0
"Switzerland, IN",18155,8234,13.6,0
"Tippecanoe, IN",18157,142020,17.9,86
"Tipton, IN",18159,16364,7.4,2
"Union, IN",18161,7351,11,3
"Vanderburgh, IN",18163,169890,13.4,182
"Vermillion, IN",18165,16713,11.8,0
"Vigo, IN",18167,107583,17.4,63
"Wabash, IN",18169,35132,10.1,3
"Warren, IN",18171,8264,8.2,0
"Warrick, IN",18173,48919,6.3,2
"Washington, IN",18175,25432,13.3,1
"Wayne, IN",18177,72438,14.4,79
"Wells, IN",18179,26868,7.4,3
"White, IN",18181,24469,10.3,0
"Whitley, IN",18183,29288,7.5,0
IOWA,19000,2867373,10.8,1148
"Adair, IA",19001,8366,10,0
"Adams, IA",19003,4578,10.4,0
"Allamakee, IA",19005,14484,11.3,0
"Appanoose, IA",19007,13723,17.2,3
"Audubon, IA",19009,6954,9.6,0
"Benton, IA",19011,23962,7.9,0
"Black Hawk, IA",19013,126936,15,85
"Boone, IA",19015,25456,8.9,1
"Bremer, IA",19017,23183,7.4,0
"Buchanan, IA",19019,21141,10.6,1
"Buena Vista, IA",19021,20500,11.5,2
"Butler, IA",19023,15573,9.4,0
"Calhoun, IA",19025,11473,11.2,1
"Carroll, IA",19027,21651,8,1
"Cass, IA",19029,15043,12.8,0
"Cedar, IA",19031,17742,6.6,0
"Cerro Gordo, IA",19033,47196,10.4,12
"Cherokee, IA",19035,13635,8.3,0
"Chickasaw, IA",19037,13297,9,0
"Clarke, IA",19039,8486,10.8,1
"Clay, IA",19041,17577,9.3,0
"Clayton, IA",19043,18871,10.1,0
"Clinton, IA",19045,51270,12.1,19
"Crawford, IA",19047,16761,11.5,0
"Dallas, IA",19049,34050,5.1,4
"Davis, IA",19051,8512,13.7,0
"Decatur, IA",19053,8468,20.5,0
"Delaware, IA",19055,18347,9,0
"Des Moines, IA",19057,42936,13.2,19
"Dickinson, IA",19059,15601,8,0
"Dubuque, IA",19061,88938,8.8,10
"Emmet, IA",19063,11403,10.1,0
"Fayette, IA",19065,22211,12,2
"Floyd, IA",19067,17001,11.4,0
"Franklin, IA",19069,11016,9.6,0
"Fremont, IA",19071,8172,10.6,0
"Greene, IA",19073,10226,10.4,0
"Grundy, IA",19075,12244,5.7,0
"Guthrie, IA",19077,11241,9.4,0
"Hamilton, IA",19079,16468,8.9,1
"Hancock, IA",19081,12148,7.8,0
"Hardin, IA",19083,19103,10.9,1
"Harrison, IA",19085,15231,10,1
"Henry, IA",19087,20001,11.4,1
"Howard, IA",19089,9944,10.4,0
"Humboldt, IA",19091,10457,10.2,0
"Ida, IA",19093,8206,10.3,0
"Iowa, IA",19095,15136,6.5,0
"Jackson, IA",19097,20196,13.3,1
"Jasper, IA",19099,35406,8.5,2
"Jefferson, IA",19101,16468,13.5,3
"Johnson, IA",19103,104488,16.8,44
"Jones, IA",19105,20521,10.7,0
"Keokuk, IA",19107,11597,11.9,0
"Kossuth, IA",19109,17836,10.3,1
"Lee, IA",19111,39107,13.1,5
"Linn, IA",19113,181874,10,124
"Louisa, IA",19115,11939,10.9,0
"Lucas, IA",19117,9234,14.2,0
"Lyon, IA",19119,11724,7.8,0
"Madison, IA",19121,13340,7,0
"Mahaska, IA",19123,22055,10.5,2
"Marion, IA",19125,31143,8.8,1
"Marshall, IA",19127,39051,11.4,4
"Mills, IA",19129,13663,8.1,1
"Mitchell, IA",19131,10971,10.5,0
"Monona, IA",19133,10059,12.6,0
"Monroe, IA",19135,8203,12.4,0
"Montgomery, IA",19137,11947,11.7,2
"Muscatine, IA",19139,41440,11.4,2
"O'Brien, IA",19141,15647,8.9,0
"Osceola, IA",19143,7138,8.2,0
"Page, IA",19145,16729,13.3,0
"Palo Alto, IA",19147,10260,11.4,0
"Plymouth, IA",19149,24339,7.1,2
"Pocahontas, IA",19151,9133,11.3,0
"Polk, IA",19153,354096,7.9,328
"Pottawattamie, IA",19155,83973,11.5,83
"Poweshiek, IA",19157,18925,9.8,0
"Ringgold, IA",19159,5382,16.3,0
"Sac, IA",19161,12003,11.9,0
"Scott, IA",19163,156271,12.2,283
"Shelby, IA",19165,13232,8.1,0
"Sioux, IA",19167,31347,7.2,0
"Story, IA",19169,76265,17.6,18
"Tama, IA",19171,17951,9.7,0
"Taylor, IA",19173,7069,13,0
"Union, IA",19175,12325,13.3,1
"Van Buren, IA",19177,7701,14,0
"Wapello, IA",19179,35990,14.7,6
"Warren, IA",19181,38645,6.5,2
"Washington, IA",19183,20245,10.3,0
"Wayne, IA",19185,6939,15,0
"Webster, IA",19187,39698,13.6,16
"Winnebago, IA",19189,11804,9.5,0
"Winneshiek, IA",19191,21114,8.9,0
"Woodbury, IA",19193,103346,14.6,52
"Worth, IA",19195,7952,8.6,0
"Wright, IA",19197,14674,11.4,0
KANSAS,20000,2601007,11.7,1728
"Allen, KS",20001,14667,15.6,1
"Anderson, KS",20003,7970,13.9,1
"Atchison, KS",20005,16775,14.1,3
"Barber, KS",20007,5616,11.9,0
"Barton, KS",20009,29132,14.6,0
"Bourbon, KS",20011,15157,15.4,7
"Brown, KS",20013,10971,14.9,1
"Butler, KS",20015,56298,9.4,5
"Chase, KS",20017,3025,11,0
"Chautauqua, KS",20019,4407,16,0
"Cherokee, KS",20021,22503,17.1,0
"Cheyenne, KS",20023,3160,11.1,0
"Clark, KS",20025,2424,12.4,0
"Clay, KS",20027,9156,10.8,1
"Cloud, KS",20029,10643,12.6,0
"Coffey, KS",20031,8812,8.9,0
"Comanche, KS",20033,2116,10.7,0
"Cowley, KS",20035,37233,14.9,7
"Crawford, KS",20037,37944,19.4,10
"Decatur, KS",20039,3624,12.2,0
"Dickinson, KS",20041,19565,8.8,0
"Doniphan, KS",20043,7782,13.3,0
"Douglas, KS",20045,91408,15.3,41
"Edwards, KS",20047,3652,11.8,0
"Elk, KS",20049,3278,17.2,0
"Ellis, KS",20051,27139,11.7,2
"Ellsworth, KS",20053,6546,9.4,0
"Finney, KS",20055,36460,15.2,8
"Ford, KS",20057,30282,13.3,18
"Franklin, KS",20059,23505,10.1,9
"Geary, KS",20061,31796,13.4,13
"Gove, KS",20063,3166,11.2,0
"Graham, KS",20065,3224,12.2,0
"Grant, KS",20067,7781,11.1,0
"Gray, KS",20069,5547,9.3,0
"Greeley, KS",20071,1693,10.5,0
"Greenwood, KS",20073,7821,13.9,1
"Hamilton, KS",20075,2468,12.8,0
"Harper, KS",20077,6716,12.2,1
"Harvey, KS",20079,32574,8.2,7
"Haskell, KS",20081,4051,11.9,0
"Hodgeman, KS",20083,2165,10.7,0
"Jackson, KS",20085,11980,10.7,0
"Jefferson, KS",20087,17253,8,2
"Jewell, KS",20089,4016,13.2,0
"Johnson, KS",20091,403202,5.2,214
"Kearny, KS",20093,4366,11.9,0
"Kingman, KS",20095,8472,12.4,0
"Kiowa, KS",20097,3589,12.2,0
"Labette, KS",20099,23302,14.6,10
"Lane, KS",20101,2277,9.4,0
"Leavenworth, KS",20103,67511,7.9,54
"Lincoln, KS",20105,3579,11.9,0
"Linn, KS",20107,8798,12.7,1
"Logan, KS",20109,3215,10.3,0
"Lyon, KS",20111,35672,16.6,9
"McPherson, KS",20113,28762,9.5,4
"Marion, KS",20115,13550,9.3,0
"Marshall, KS",20117,11312,10.4,0
"Meade, KS",20119,4476,10.8,0
"Miami, KS",20121,25667,7.1,1
"Mitchell, KS",20123,7121,11,0
"Montgomery, KS",20125,37451,16.2,17
"Morris, KS",20127,6290,10.8,0
"Morton, KS",20129,3399,11.8,0
"Nemaha, KS",20131,10675,9.1,0
"Neosho, KS",20133,17204,14.1,1
"Ness, KS",20135,3697,10,0
"Norton, KS",20137,5961,12.4,0
"Osage, KS",20139,16290,10.1,1
"Osborne, KS",20141,4712,12.6,0
"Ottawa, KS",20143,5880,8.4,0
"Pawnee, KS",20145,7618,10.2,1
"Phillips, KS",20147,6300,11.7,0
"Pottawatomie, KS",20149,17084,9.6,0
"Pratt, KS",20151,9803,11.3,1
"Rawlins, KS",20153,3204,13.9,0
"Reno, KS",20155,63458,13.1,17
"Republic, KS",20157,6140,10.4,1
"Rice, KS",20159,10731,13.8,0
"Riley, KS",20161,68664,20.2,20
"Rooks, KS",20163,5884,12.3,0
"Rush, KS",20165,3690,12,0
"Russell, KS",20167,7675,13.8,0
"Saline, KS",20169,52892,11.5,18
"Scott, KS",20171,5169,7.3,0
"Sedgwick, KS",20173,428629,13.1,509
"Seward, KS",20175,20737,15.3,16
"Shawnee, KS",20177,167734,12,276
"Sheridan, KS",20179,2867,11.5,0
"Sherman, KS",20181,6895,14.4,0
"Smith, KS",20183,4795,11.3,0
"Stafford, KS",20185,5114,14.4,0
"Stanton, KS",20187,2394,12.6,0
"Stevens, KS",20189,5254,11.1,0
"Sumner, KS",20191,25900,12.1,1
"Thomas, KS",20193,8465,13.2,0
"Trego, KS",20195,3549,13,0
"Wabaunsee, KS",20197,6779,8,0
"Wallace, KS",20199,1799,14.7,0
"Washington, KS",20201,6809,11.3,0
"Wichita, KS",20203,2748,12.6,0
"Wilson, KS",20205,10394,14.4,0
"Woodson, KS",20207,4015,15.9,0
"Wyandotte, KS",20209,157887,19.5,418
KENTUCKY,21000,3887427,16.9,3478
"Adair, KY",21001,16564,24.9,1
"Allen, KY",21003,16091,16.7,0
"Anderson, KY",21005,17191,8.8,1
"Ballard, KY",21007,8053,15,1
"Barren, KY",21009,35912,17.7,8
"Bath, KY",21011,10188,22,1
"Bell, KY",21013,30919,35.4,2
"Boone, KY",21015,70017,7,50
"Bourbon, KY",21017,19178,17.2,8
"Boyd, KY",21019,50840,17.2,26
"Boyle, KY",21021,26770,15.2,17
"Bracken, KY",21023,8069,12.8,0
"Breathitt, KY",21025,15699,33.8,2
"Breckinridge, KY",21027,16922,18.7,1
"Bullitt, KY",21029,55504,8.9,18
"Butler, KY",21031,12135,16.6,0
"Caldwell, KY",21033,13140,16.4,3
"Calloway, KY",21035,32723,19.9,9
"Campbell, KY",21037,87742,12.1,8
"Carlisle, KY",21039,5335,14.2,0
"Carroll, KY",21041,9809,14.4,3
"Carter, KY",21043,25837,20.1,1
"Casey, KY",21045,14678,25.5,0
"Christian, KY",21047,72420,16,66
"Clark, KY",21049,31014,13.8,16
"Clay, KY",21051,23595,37.2,3
"Clinton, KY",21053,9354,27,1
"Crittenden, KY",21055,9255,18,0
"Cumberland, KY",21057,7050,23.2,0
"Daviess, KY",21059,90458,14.6,56
"Edmonson, KY",21061,10818,18.7,0
"Elliott, KY",21063,6629,28.9,0
"Estill, KY",21065,15338,29.1,1
"Fayette, KY",21067,245579,14.7,581
"Fleming, KY",21069,12996,18.5,1
"Floyd, KY",21071,43558,28.9,1
"Franklin, KY",21073,46214,11.9,30
"Fulton, KY",21075,7611,25.4,2
"Gallatin, KY",21077,6383,17.3,0
"Garrard, KY",21079,13061,15,1
"Grant, KY",21081,19187,12.5,1
"Graves, KY",21083,35387,17.8,7
"Grayson, KY",21085,22726,23.7,0
"Green, KY",21087,10902,19.5,0
"Greenup, KY",21089,37203,18.6,6
"Hancock, KY",21091,8167,13.6,0
"Hardin, KY",21093,91520,12.5,47
"Harlan, KY",21095,35658,31.6,9
"Harrison, KY",21097,16953,13.9,3
"Hart, KY",21099,16295,24.2,2
"Henderson, KY",21101,44484,14.4,0
"Henry, KY",21103,14189,15,3
"Hickman, KY",21105,5368,17.3,0
"Hopkins, KY",21107,46803,17.7,1
"Jackson, KY",21109,12915,27.9,0
"Jefferson, KY",21111,682143,13.6,1930
"Jessamine, KY",21113,34947,12.5,2
"Johnson, KY",21115,23881,24.4,4
"Kenton, KY",21117,147206,11.1,48
"Knott, KY",21119,18207,31.1,0
"Knox, KY",21121,31041,36.2,1
"Larue, KY",21123,12669,15.7,3
"Laurel, KY",21125,47982,20.1,8
"Lawrence, KY",21127,15125,33.4,0
"Lee, KY",21129,7850,34.7,0
"Leslie, KY",21131,12969,29.1,0
"Letcher, KY",21133,26405,27.2,2
"Lewis, KY",21135,13603,29.1,1
"Lincoln, KY",21137,21737,19.3,0
"Livingston, KY",21139,9478,13.3,2
"Logan, KY",21141,25725,16.1,9
"Lyon, KY",21143,7679,15.4,0
"McCracken, KY",21145,65231,17,44
"McCreary, KY",21147,16723,36.6,0
"McLean, KY",21149,9609,16.1,0
"Madison, KY",21151,63906,18.1,24
"Magoffin, KY",21153,13314,35.6,0
"Marion, KY",21155,17283,19.7,2
"Marshall, KY",21157,29114,11.9,3
"Martin, KY",21159,13131,42.2,2
"Mason, KY",21161,17060,18.5,7
"Meade, KY",21163,25234,11.9,2
"Menifee, KY",21165,5657,27.4,0
"Mercer, KY",21167,20060,14.1,8
"Metcalfe, KY",21169,9556,24.5,0
"Monroe, KY",21171,11855,24.6,0
"Montgomery, KY",21173,20698,17.7,4
"Morgan, KY",21175,13496,30.9,0
"Muhlenberg, KY",21177,31560,19.8,2
"Nelson, KY",21179,33373,12,7
"Nicholas, KY",21181,6845,19.1,0
"Ohio, KY",21183,21836,18.9,0
"Oldham, KY",21185,40611,5,4
"Owen, KY",21187,9638,16.1,1
"Owsley, KY",21189,5099,45.5,1
"Pendleton, KY",21191,13452,14.7,1
"Perry, KY",21193,30648,29.6,10
"Pike, KY",21195,72346,24.7,7
"Powell, KY",21197,12094,23.5,4
"Pulaski, KY",21199,53715,18.6,24
"Robertson, KY",21201,2216,22.4,0
"Rockcastle, KY",21203,15664,25.4,3
"Rowan, KY",21205,21370,23.5,1
"Russell, KY",21207,16003,24,0
"Scott, KY",21209,27634,10.4,9
"Shelby, KY",21211,28648,9.7,26
"Simpson, KY",21213,15863,14.1,9
"Spencer, KY",21215,8429,8.7,1
"Taylor, KY",21217,22614,18.5,13
"Todd, KY",21219,11477,17,4
"Trigg, KY",21221,11355,13.1,5
"Trimble, KY",21223,7009,14.7,0
"Union, KY",21225,16045,15.3,9
"Warren, KY",21227,86301,15.6,90
"Washington, KY",21229,10573,15.3,0
"Wayne, KY",21231,18646,26.5,0
"Webster, KY",21233,13858,15.1,1
"Whitley, KY",21235,34872,26.9,4
"Wolfe, KY",21237,6909,33.7,0
"Woodford, KY",21239,21744,9.1,2
LOUISIANA,22000,4378779,20.2,4844
"Acadia, LA",22001,57473,22.6,16
"Allen, LA",22003,24246,21.5,2
"Ascension, LA",22005,66138,11.7,36
"Assumption, LA",22007,22873,21.5,3
"Avoyelles, LA",22009,40387,28.6,0
"Beauregard, LA",22011,31765,17,3
"Bienville, LA",22013,16001,25.5,0
"Bossier, LA",22015,92640,14.9,97
"Caddo, LA",22017,251959,23.1,650
"Calcasieu, LA",22019,177308,17.8,219
"Caldwell, LA",22021,10237,21.8,2
"Cameron, LA",22023,9299,13,1
"Catahoula, LA",22025,11108,29.2,0
"Claiborne, LA",22027,17260,25.6,10
"Concordia, LA",22029,20852,32.8,4
"De Soto, LA",22031,24994,27.3,6
"East Baton Rouge, LA",22033,406207,20.7,1263
"East Carroll, LA",22035,9811,45.4,4
"East Feliciana, LA",22037,20555,22.4,4
"Evangeline, LA",22039,34539,28.8,3
"Franklin, LA",22041,21785,30.4,1
"Grant, LA",22043,17955,19.9,0
"Iberia, LA",22045,70927,23,1
"Iberville, LA",22047,31691,25,13
"Jackson, LA",22049,15481,18.9,1
"Jefferson, LA",22051,461176,15.5,620
"Jefferson Davis, LA",22053,31671,20.7,11
"Lafayette, LA",22055,180810,16.8,180
"Lafourche, LA",22057,87611,14.7,38
"La Salle, LA",22059,13911,19.9,0
"Lincoln, LA",22061,43306,27,22
"Livingston, LA",22063,79342,13.4,42
"Madison, LA",22065,13427,36.6,3
"Morehouse, LA",22067,31881,28.2,5
"Natchitoches, LA",22069,38220,29.5,6
"Orleans, LA",22071,495018,25.5,758
"Ouachita, LA",22073,147018,22.7,105
"Plaquemines, LA",22075,25942,14.9,6
"Pointe Coupee, LA",22077,22837,22.3,2
"Rapides, LA",22079,126207,21.2,159
"Red River, LA",22081,9771,32.6,5
"Richland, LA",22083,20767,26.5,2
"Sabine, LA",22085,23231,18.1,3
"St. Bernard, LA",22087,68216,17.3,31
"St. Charles, LA",22089,45885,13.9,24
"St. Helena, LA",22091,10320,21.8,1
"St. James, LA",22093,20879,17.2,10
"St. John the Baptist, LA",22095,42042,17.5,45
"St. Landry, LA",22097,83933,30.5,15
"St. Martin, LA",22099,46010,20.8,1
"St. Mary, LA",22101,55741,22.2,49
"St. Tammany, LA",22103,171030,11,87
"Tangipahoa, LA",22105,93775,23.3,80
"Tensas, LA",22107,6939,36.6,0
"Terrebonne, LA",22109,100362,18.2,102
"Union, LA",22111,21788,20,6
"Vermilion, LA",22113,51438,20.6,5
"Vernon, LA",22115,55807,16.2,9
"Washington, LA",22117,43380,24.5,41
"Webster, LA",22119,41858,24.2,9
"West Baton Rouge, LA",22121,20894,16.5,16
"West Carroll, LA",22123,12088,24.7,0
"West Feliciana, LA",22125,13263,21.5,7
"Winn, LA",22127,17494,25.4,0
MAINE,23000,1243480,12.3,322
"Androscoggin, ME",23001,103769,12,44
"Aroostook, ME",23003,77620,16.6,7
"Cumberland, ME",23005,252078,10,143
"Franklin, ME",23007,29406,16.9,6
"Hancock, ME",23009,50103,10.4,2
"Kennebec, ME",23011,117456,13,16
"Knox, ME",23013,37942,11.9,5
"Lincoln, ME",23015,32051,11,3
"Oxford, ME",23017,53380,14.6,7
"Penobscot, ME",23019,145724,12.8,33
"Piscataquis, ME",23021,17969,16.3,1
"Sagadahoc, ME",23023,33473,9,3
"Somerset, ME",23025,50277,16.9,4
"Waldo, ME",23027,34841,16.6,5
"Washington, ME",23029,35420,19.1,2
"York, ME",23031,171971,9.9,41
MARYLAND,24000,5070033,8.3,14378
"Allegany, MD",24001,75427,15,15
"Anne Arundel, MD",24003,463022,5.4,865
"Baltimore, MD",24005,727937,6.8,1769
"Calvert, MD",24009,63913,5,26
"Caroline, MD",24011,28947,11.3,17
"Carroll, MD",24013,138291,3.7,36
"Cecil, MD",24015,78315,8.1,79
"Charles, MD",24017,110196,5.7,195
"Dorchester, MD",24019,30538,14.4,43
"Frederick, MD",24021,175923,4.6,148
"Garrett, MD",24023,29659,13.8,1
"Harford, MD",24025,204414,5.7,193
"Howard, MD",24027,218561,3.9,263
"Kent, MD",24029,18720,12.3,15
"Montgomery, MD",24031,815022,4.8,1109
"Prince George's, MD",24033,765681,8.3,5172
"Queen Anne's, MD",24035,36460,6.3,15
"St. Mary's, MD",24037,79222,8,45
"Somerset, MD",24039,24455,20.1,28
"Talbot, MD",24041,32514,8.2,27
"Washington, MD",24043,128729,8.6,111
"Wicomico, MD",24045,81245,13.8,211
"Worcester, MD",24047,41157,9.9,59
"Baltimore city, MD",24510,701685,22.2,3936
MASSACHUSETTS,25000,6141445,10.3,7522
"Barnstable, MA",25001,202874,7.1,68
"Berkshire, MA",25003,136885,10.6,49
"Bristol, MA",25005,518831,10.5,693
"Dukes, MA",25007,13139,6.5,2
"Essex, MA",25009,689315,11.1,669
"Franklin, MA",25011,71414,11.2,11
"Hampden, MA",25013,453491,16.4,988
"Hampshire, MA",25015,150431,11.4,26
"Middlesex, MA",25017,1421302,7.5,1020
"Nantucket, MA",25019,7538,4.6,0
"Norfolk, MA",25021,636005,5.4,267
"Plymouth, MA",25023,450281,6.5,292
"Suffolk, MA",25025,670605,20.5,2885
"Worcester, MA",25027,719334,9.7,552
MICHIGAN,26000,9676211,13.1,13289
"Alcona, MI",26001,10775,15.4,0
"Alger, MI",26003,9870,13.4,0
"Allegan, MI",26005,97941,9.6,14
"Alpena, MI",26007,30997,13.7,4
"Antrim, MI",26009,20468,10.3,0
"Arenac, MI",26011,16439,17.6,1
"Baraga, MI",26013,8517,13,0
"Barry, MI",26015,53746,8.5,2
"Bay, MI",26017,111680,11.2,50
"Benzie, MI",26019,13927,8.4,0
"Berrien, MI",26021,163022,17.6,80
"Branch, MI",26023,43609,13,2
"Calhoun, MI",26025,137393,14.3,141
"Cass, MI",26027,50000,12.6,4
"Charlevoix, MI",26029,23959,10.1,0
"Cheboygan, MI",26031,23654,14,0
"Chippewa, MI",26033,37173,16.5,4
"Clare, MI",26035,28427,17.8,3
"Clinton, MI",26037,61625,7.9,7
"Crawford, MI",26039,13472,15.7,3
"Delta, MI",26041,38517,11.7,0
"Dickinson, MI",26043,27455,11.3,0
"Eaton, MI",26045,99350,9.3,35
"Emmet, MI",26047,28411,9.3,1
"Genesee, MI",26049,432261,16,773
"Gladwin, MI",26051,24160,18,4
"Gogebic, MI",26053,18049,17.2,0
"Grand Traverse, MI",26055,71300,8.2,5
"Gratiot, MI",26057,40146,13,5
"Hillsdale, MI",26059,44825,14.2,3
"Houghton, MI",26061,36278,18.7,2
"Huron, MI",26063,35670,11.7,1
"Ingham, MI",26065,282420,18.5,334
"Ionia, MI",26067,61319,11,4
"Iosco, MI",26069,25306,14.7,2
"Iron, MI",26071,13328,13.8,0
"Isabella, MI",26073,59070,22.9,16
"Jackson, MI",26075,153313,13.4,98
"Kalamazoo, MI",26077,232184,15.2,255
"Kalkaska, MI",26079,15233,13.6,0
"Kent, MI",26081,540982,12.1,874
"Keweenaw, MI",26083,1996,15.2,0
"Lake, MI",26085,9603,22.4,1
"Lapeer, MI",26087,82345,7.1,10
"Leelanau, MI",26089,18893,7,0
"Lenawee, MI",26091,95662,9.1,13
"Livingston, MI",26093,134170,4.4,19
"Luce, MI",26095,5697,17.9,0
"Mackinac, MI",26097,11412,10.5,0
"Macomb, MI",26099,761378,8.6,560
"Manistee, MI",26101,23094,12.6,1
"Marquette, MI",26103,66006,13.8,3
"Mason, MI",26105,27463,12.9,0
"Mecosta, MI",26107,37155,18.7,11
"Menominee, MI",26109,25025,12.9,4
"Midland, MI",26111,79841,11.7,5
"Missaukee, MI",26113,13501,15.9,2
"Monroe, MI",26115,138631,9.2,49
"Montcalm, MI",26117,57616,13.3,7
"Montmorency, MI",26119,9781,15.2,0
"Muskegon, MI",26121,164457,15,170
"Newaygo, MI",26123,43970,13.1,1
"Oakland, MI",26125,1155687,6.8,920
"Oceana, MI",26127,24724,18.7,3
"Ogemaw, MI",26129,20715,17.9,3
"Ontonagon, MI",26131,8710,13,0
"Osceola, MI",26133,22213,15.9,1
"Oscoda, MI",26135,9000,18.4,0
"Otsego, MI",26137,20870,10,1
"Ottawa, MI",26139,212370,6.9,38
"Presque Isle, MI",26141,14330,11.8,0
"Roscommon, MI",26143,23276,15.8,2
"Saginaw, MI",26145,212076,17.4,292
